sourceMDD>targetMDD,is_q_topic_history,is_q_topic_tech,is_q_type_date_time,correct_target
False,False,False,False,True
False,False,False,True,True
True,True,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
True,False,False,False,True
False,False,False,True,True
True,False,False,False,False
False,True,False,True,False
True,False,False,False,False
False,False,False,False,False
False,False,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,True,False,False,True
True,False,False,False,False
False,False,False,False,True
True,False,False,False,True
